id,product_tmpl_id/id,attribute_id/id,value_ids/id
ptal_fp_sua_tuoi_tc_dd_da,zed_custom.pt_fp_sua_tuoi_tc_dd,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_sua_tuoi_tc_bac_ha_ngot,zed_custom.pt_fp_sua_tuoi_tc_bac_ha,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_sua_tuoi_tc_bac_ha_tra,zed_custom.pt_fp_sua_tuoi_tc_bac_ha,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_sua_tuoi_tc_bac_ha_da,zed_custom.pt_fp_sua_tuoi_tc_bac_ha,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_sua_dua_nhiet_doi_ngot,zed_custom.pt_fp_sua_dua_nhiet_doi,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_sua_dua_nhiet_doi_tra,zed_custom.pt_fp_sua_dua_nhiet_doi,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_sua_dua_nhiet_doi_da,zed_custom.pt_fp_sua_dua_nhiet_doi,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_sam_dua_lac_tc_trang_ngot,zed_custom.pt_fp_sam_dua_lac_tc_trang,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_sam_dua_lac_tc_trang_tra,zed_custom.pt_fp_sam_dua_lac_tc_trang,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_sam_dua_lac_tc_trang_da,zed_custom.pt_fp_sam_dua_lac_tc_trang,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_cot_dua_xoai_ngot,zed_custom.pt_fp_cot_dua_xoai,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_cot_dua_xoai_tra,zed_custom.pt_fp_cot_dua_xoai,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_cot_dua_xoai_da,zed_custom.pt_fp_cot_dua_xoai,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_cot_dua_cacao_ngot,zed_custom.pt_fp_cot_dua_cacao,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_cot_dua_cacao_tra,zed_custom.pt_fp_cot_dua_cacao,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_cot_dua_cacao_da,zed_custom.pt_fp_cot_dua_cacao,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_tra_sua_thai_xanh_ngot,zed_custom.pt_fp_tra_sua_thai_xanh,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_tra_sua_thai_xanh_tra,zed_custom.pt_fp_tra_sua_thai_xanh,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_tra_sua_thai_xanh_da,zed_custom.pt_fp_tra_sua_thai_xanh,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_matcha_da_xay_ngot,zed_custom.pt_fp_matcha_da_xay,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_matcha_da_xay_tra,zed_custom.pt_fp_matcha_da_xay,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_matcha_da_xay_da,zed_custom.pt_fp_matcha_da_xay,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_dau_lac_sua_ngot,zed_custom.pt_fp_dau_lac_sua,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_dau_lac_sua_tra,zed_custom.pt_fp_dau_lac_sua,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_dau_lac_sua_da,zed_custom.pt_fp_dau_lac_sua,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
ptal_fp_da_xay_viet_quat_ngot,zed_custom.pt_fp_da_xay_viet_quat,zed_custom.att_do_ngot,"zed_custom.attval_ngot_it,attval_ngot_vua,attval_ngot_nhieu"
ptal_fp_da_xay_viet_quat_tra,zed_custom.pt_fp_da_xay_viet_quat,zed_custom.att_do_tra,"zed_custom.attval_tra_nhat,attval_tra_vua,attval_tra_dam"
ptal_fp_da_xay_viet_quat_da,zed_custom.pt_fp_da_xay_viet_quat,zed_custom.att_da,"zed_custom.attval_da_khong,attval_da_it,attval_da_vua,attval_da_nhieu"
